"enablers","barriers"
"(a) Replikationen zu ermöglichen / Verstärkung des wissenschaftlichen Austausches.(b) Die Hoffnung, Im Gegenzug von anderen Vorarbeiten profitieren zu können.","Bei älteren Codes müsste die Dokumentation im Nachhinein verbessert werden. Bei neuen Arbeiten wäre das kein Problem."
"replikation, replikation",
"Eine breitere Datengrundlage für Forscher_innen.","Die Datensicherheit und der zeitliche Aufwand bei Rückfragen von usern."
"public good","free riding"
"Fortschritt in der Community","Qualitätssicherung"
"Hilfestellung für andere und gleichzeitig Korrektur evtl. Fehler durch andere","Datenschutz"
"eigener Nutzen durch dieses Netztwerk","Datenmissbrauch"
"Reproduzierbarkeit der eigenen ForschungSolidarität","Datenschutz (soweit zutreffend)Bedenken von Ko-AutorInnenFormale Hürden (z.B. wenn nur deutsche Syntax-Kommentare erlaubt wären)"
"Von der Einsicht in andere Skripte/Daten zu profitierenTransparenz in der Forschung","wissenschaftlichen Vorsprung aufzugeben"
"Austausch über ähnliche Fragestellungen, für vertiefte Analysen, die man selbst nicht machen kann, da keine Ressourcen vorhanden","bei Daten von Drittmittelprojekten müsste man das mit den Gebern klären"
"Bereitstellung der Daten für eine Nutzerschaft und Anwendung alternativer Auswertungsmethoden sowie Bearbeitung anderer Fragestellungen","Der Aufwand, einen Datensatz zu erheben ist immens, selbst Daten zu erhben kommt ""aus der Mode"". Ich möchte diese Bequemlichkeit nicht fördern. Zusätzlich habe ich Bedenken, ob ich einen eigenen Datensatz für mich erschöpfend analysiert habe, ehe ich ihn veröffentliche"
"Ich persönlich wäre bereit Daten bereitzustellen, aber innerhalb des jeweiligen Projektkontextes kann ich das i.d.R. nicht entscheiden.",
"Ich kann darauf keine Antwort geben, da dies mein Chef entscheiden würde.","s.o."
"# Replikation ist sehr wichtig um die Qualität der Forschung zu erhalten.# kummuliertes Wissen führt zu schnelleren Ergebnissen (ich würde auch die Skripte anderer User nutzen; gerade bei Herstellung eine Ereignisdatensatzes hätte mir das früher viel Zeit gespart)# Zitationspflicht der Skripte könnte ein Anreiz sein, die Daten bereitzustellen",
,"Zu hoher Aufwand, Gefahr Fehler gemacht zu haben"
"Austausch, Replizierbarkeit","I.d.R. mangelhafte Zitierung der Quelle"
"Interesse daran, auch von anderen Daten bereitgestellt zu bekommen",
"- bessere Fehlerkontrolle- effizienter, wenn alle gemeinsam beitragen","- Problem der Trittbrettfahrer; manche Skripte sind sehr zeitintensiv und aufwändig"
"Um Feedback von anderen Wissenschaftlern zu bekommen. Und um Analysen vergleichbar und replizierbar zu machen.","Dass meine Ideen verwendet werden, ohne, dass Bezug auf mich genommen wird."
"feedbacks, community","spam"
"Not sure","use of script without acknowledgement"
"Vereinfachte Datenanalyse für andere Nutzer","Fehler in der eigenen Arbeit; mangelende Kentniss über Zweck und Nutzer/-innen; ""eigene Lorbeeren"" teilen;"
"Fortschritt kommt nur durch wissenschaftlichen Austausch zustande","Kommunikation mit ""Dünnbrettbohrern"""
"Austausch mit anderen Wissenschaftlern. Vergleich mit den von anderen Wissenschaftlern bereitgestellten Skripten.","Ich würde die Skripte erst freigeben wollen, wenn mein Forschungsprojekt abgeschlossen ist."
"higher transparency in research","use of the scripts without acknowledgments"
"Replizierbarkeit meiner eigenen Forschungsergebnisse",
,"Dazu fühle ich mich nicht sicher genug"
"Beschreibung der Datenaufbereitung in Artikeln ist meist unzureichend. Man muss das Rad ja nicht immer neu erfinden.","Nicht zitiert zu werden."
"Fortschritt","Datenschutz"
"- Reproduzierbarkeit- Transparenz","- keine. Wissenschaft sollte immer reproduzierbar sein, sonst ist es keine Wissenschaft"
"NachvollziehbareitReproduzierbarkeit","Verteidigung der vielen Entscheidungen, die im Laufe der Datenanalyse getroffen werden müssen"
"Erkenntnisse teilen und anderen helfen, damit man selbst vielleicht auch mal Hilfe bekommt.","Eigener Aufwand ist zu groß; Forschungsinhalt wird ""geklaut"""
"peer review is an important part of research, there should be no obstacles to it.","no"
"Möglichkeiten der Kritik an der eigenen Arbeit. Studenten die Möglichkeit von Assignments oder Replication task zu geben.","Keine Bedenken!"
"working with panel data is sometimes difficult; seeing how other have solved a problem may be useluf","i have doubts about others being able to use my work without control from my side"
"Ich kann selbst davon gut profitieren und von anderen lernen. Warum soll ich genau den gleichen Service auch den anderen zur Verfügung stellen?","Ich wäre mir nicht 100% sicher, wie vertraulich meine Inhalte sind."
"Möglichkeiten, direkte Vergleiche mit den Analysen Anderer durchzuführen.",
"- Replizierbarkeit sollte wissenschaftlicher Standard sein",
