Author Year,Year,Title,Journal / Book,Keywords,Kind of publication,Abstract (alternatively introduction),Database,Discipline,"Context (unit of investigation, exemplification case)","Method used, if any",Barriers,Enabler & Motivations for Data Sharing (excerpts from the text + page),Expected benefits (excerpts from the text),Expected risks: (excerpts from the text),Coders' decision
Perrino et al. 2013,2013,Advancing Science Through Collaborative Data Sharing and Synthesis,Perspectives on Psychological Science,"collaborative research, data sharing, data synthesis, scientific equity, integrative data analysis",Journal article,"The demand for researchers to share their data has increased dramatically in recent years. There is a need to replicate and confirm scientific findings to bolster confidence in many research areas. Data sharing also serves the critical function of allowing synthesis of findings across trials. As innovative statistical methods have helped resolve barriers to synthesis analyses, data sharing and synthesis can help answer research questions that cannot be answered by individual trials alone. However, the sharing of data among researchers remains challenging and infrequent. This article aims to (a) increase support for data sharing and synthesis collaborations among researchers to advance scientific knowledge and (b) provide a model for establishing these collaborations using the example of the ongoing National Institute of Mental Health’s Collaborative Data Synthesis on Adolescent Depression Trials. This study brings together datasets from existing prevention and treatment trials in adolescent depression, as well as researchers and stakeholders, to answer questions about “for whom interventions work” and “by what pathways interventions have their effects.” This is critical to improving interventions, including increasing knowledge about intervention efficacy among minority populations, or what we call “scientific equity.” The collaborative model described is relevant to fields with research questions that can only be addressed by synthesizing individual-level data.",Ebsco,Psychology,"National Institute of Mental Health’s Collaborative Data Synthesis on Adolescent Depression Trials, This study brings
together datasets from existing prevention and treatment trials in adolescent depression, as well as researchers and
stakeholders, to answer questions about “for whom interventions work” and “by what pathways interventions have
their effects.”","Integrative data analysis, meta-analysis","Data ownership: ""Data ownership is a complex topic, and although it is common to speak about “owning data,” it may be more accurate, in the realm of grant-generated data, to say that what investigators and their institutions really own are rights to access data. The institution that supported the study—which is typically the actual recipient of the grant from the funding agency—has access rights. Individual research participants may also have rights to their own data. The public, whose tax dollars funded the study, also has rights to the aggregate data (Guttmacher et al., 2009). The investigators who collected the data may have more of a sense of “psychological ownership” than others and they have a vested interest in exploring the data and preventing."" p. 435

Data protection, privacy: ""investigators, their institutions, and institutional review boards (IRBs) have a responsibility to protect the privacy rights and welfare of study participants as outlined in the study protocol and informed consent process. However, explicitly restrictive consent form language may make data sharing impossible. Investigators with NIH grants, especially those whose grant terms and conditions detail a data-sharing plan, have a responsibility to ensure that the informed consent language is consistent with data sharing and avoids excessively restrictive terms (e.g., specifically guaranteeing that data will not be shared with others; NIH, 2004). For recent studies, excessively restrictive consen  language should be unusual because many funding institutions, professional organizations, and journals have policies that require data sharing."" p. 435

Though individual study investigators have expressed a strong interest in the scientific benefits of data sharing through CDSADT and the opportunity to better understand the effects of these interventions, some expressed reservations about data sharing—they felt that it would be time-consuming, that their data might not be correctly interpreted, and in particular that they wished to protect their intellectual investments and ensure that the CDSADT team did not publish findings that the individual study team was planning to publish.p. 440

All of the steps in the process of developing these research collaborations for collaborative data sharing and synthesis require time and resources. p. 440

The correct interpretation of data has been another concern of investigators. This has included the possibility that the facilitating team might not fully understand assessment measures, interventions, and populations being studied and might misinterpret the effects of the intervention. Synthesis findings are checked carefully against existing publications, and individual investigative teams are contacted when clarification is needed. In addition, concerns about scientific validity have been addressed during the regular stakeholder conference calls when the facilitating team has an opportunity to further understand the data, studies, and stakeholders and ensure the proper interpretation of data analyses. p. 439

Time: Investigators’ practical concerns have also included limited time availability to prepare the data for sharing. p. 439


","Stakeholders: ""Both mental health advocates and mental health service providers have been identified as important stakeholders in the synthesis study’s findings because of their need to apply the findings to shape practice and to advocate for the next generation of programs to prevent and treat depression. The interest of community members is to promote research that improves interventions for adolescents who have depression or who are at risk for depression. All of these groups are considered to be research partners in the collaborative data synthesis project and are expected to share knowledge and build upon each other’s expertise to improve the research and utility of findings."" p. 437

Common goals: developing partnerships involves individual discussions with stakeholders to involve them actively in the collaborative data synthesis study by establishing shared goals for the overall project and goals for the stakeholders themselves. In the CDSADT study, common goals emerging from these discussions have covered substantive issues as well as methodological or process issues, all of which relate to improving adolescent depression interventions. p. 439

The CDSADT study’s facilitating team has supported the aspirations and goals of individual investigators in mining their own data and ensured that these investigators receive recognition for that work. The potential that this collaborative study holds for the advancement of the field, in particular the answering of research questions that cannot be answered through individual efforts, has generated significant enthusiasm and participation among the stakeholders. p. 439

All of the steps in the process of developing these research collaborations for collaborative data sharing and synthesis require time and resources. The funding provided by NIMH has been a critical resource for the CDSADT study as it has allowed the facilitating team to contact and engage collaborators and stakeholders, address issues of data rights and data protection through drafting data sharing plans, gather and manage data, develop and refine statistical methodologies, conduct analyses, and work with the collaborators to interpret findings and delineate new research questions. Although collaborative data synthesis is more cost effective and less time intensive than conducting a new study with a sufficiently large and diverse sample to address pressing research questions, it does have financial and time investments associated with it. p. 439

Thus, the facilitating team has supported individual investigators in continuing to analyze their data and receiving recognition for their work and has emphasized how the synthesis work can produce findings that will ultimately inform and advance the investigators’ work.1 Furthermore, all stakeholders have been invited to quarterly group telephone calls, which are used to provide updates on the analytic progress, facilitate continued reciprocal feedback between stakeholders and the facilitating team, and provide an opportunity to monitor investigators’ commitment to the project. The use of data sharing agreements—delineating how areas of possible contention will be addressed—has helped to alleviate concerns and articulate benefits to individual research groups. These plans have also ensured that the process is transparent and allows for input at key junctures. p. 439","p. 434: There is a need to replicate and confirm scientific findings to bolster confidence in many research areas. Data sharing also serves the critical function of allowing synthesis of findings across trials. As innovative statistical methods have helped resolve barriers to synthesis analyses, data sharing and synthesis can help answer research questions that cannot be answered by individual trials alone.

Given their direct experiences coping with depression and its treatment, adolescents with depression and their families have perhaps the greatest stake in the outcomes of synthesis studies such as the CDSADT study. The ability to pool and analyze data from multiple research studies is important to help clarify findings about the safety and efficacy of interventions. p. 440


",,yes
Harding et al. 2011,2011,"Conducting Research with Tribal Communities: Sovereignty, Ethics, and Data-Sharing Issues",Environ Health Perspect,"American Indian, data sharing, informed consent, intellectual property, IRB, research ethics, sovereignty, tribal",Conference proceeding,"Background: When conducting research with American Indian tribes, informed consent beyond conventional institutional review board (IRB) review is needed because of the potential for adverse consequences at a community or governmental level that are unrecognized by academic researchers. Objectives: In this article, we review sovereignty, research ethics, and data-sharing considerations when doing community-based participatory health–related or natural-resource–related research with American Indian nations and present a model material and data-sharing agreement that meets tribal and university requirements. Discussion: Only tribal nations themselves can identify potential adverse outcomes, and they can do this only if they understand the assumptions and methods of the proposed research. Tribes must be truly equal partners in study design, data collection, interpretation, and publication. Advances in protection of intellectual property rights (IPR) are also applicable to IRB reviews, as are principles of sovereignty and indigenous rights, all of which affect data ownership and control. Conclusions: Academic researchers engaged in tribal projects should become familiar with all three areas: sovereignty, ethics and informed consent, and IPR. We recommend developing an agreement with tribal partners that reflects both health-related IRB and natural-resource–related IPR considerations.",Ebsco,Ethnogaphy,"When conducting research with American Indian tribes, informed consent beyond conventional institutional review board (IRB) review is needed because of the potential for adverse consequences at a community or governmental level that are unrecognized by academic researchers. O b jectives: In this article, we review sovereignty, research ethics, and data-sharing considerations when doing community-based participatory health–related or natural-resource–related research with American Indian nations and present a model material and data-sharing agreement that meets tribal and university requirements. p. 6

Anthropolgy",no inquiry,"Researchers' concerns regarding cultural differences between researcher and study object, unrealistic expectations, organizational constraints, ethical violations: However, cultural differences, unrealistic expectations, organizational constraints, and ongoing ethical and data-sharing violations can create barriers that stifle or end effective partnerships between universities and sovereign tribal nations (Wong and Poon 2010). Few nonnative researchers possess an awareness of Native American culture and belief systems, including the continuing effect of American colonialism on the peoples they seek to study. For example, researchers may choose a model of “reductionist science” that relies on hypothetical quantitative models to determine disease excesses in communities with environmental contamination, while ignoring tribal community knowledge about health impacts and environmental abnormalities. Or, community members may not be included in scientific decision-making bodies that set standards of exposure and risk to community members (Quigley 2001). p. 6

Concerns regarding data ownership and trust between researcher and study object (in this case ethnographic research): Additional challenges may center on trust, data ownership, and sovereign rights. For example, there may be differences between conceptions of how knowledge may be generated, used, shared, and, ultimately, “owned.” Tsosie (2007) observed that in Western understandings, knowledge is generated by individuals who have autonomy in determining whether to share it. Once knowledge is shared, it is free for all to use, with only limited exceptions. p. 6

“within tribal communities, there may be an assumption that knowledge is part of the group’s overall identity, but that certain members have the duty to keep the knowledge on behalf of the group and that it would be inappropriate for such individuals to share the knowledge, even with other members of the group” (Tsosie 2007).

","clear termes: ""to the researchers and to the community. It is important to delineate early in the project how data will be handled beyond the traditional scope of university research rules and to resolve potential conflicts around data interpretation and publication (Resnick and Kennedy 2010). Factors that should be mutually agreed upon include the following: Whether data include information heard • in conversations, informal discussions, or social gatherings, and who is empowered to give associated permissions Permissions and ownership of data collected • formally or informally during the course of research Protocols for the transport, storage, security, • and retention of data Principles of coauthorship and a transparent • review process for publications, presentations, online postings, and other forms of information dissemination Communication channels and timeliness of • communication between stakeholders Conditions for data analyses, including • scope of research, privacy issues, and IPR."" p. 7

Although scientists at CTUIR and OSU acknowledge that an MDSA is only one element of successful CBPR with an American Indian nation, the agreement described here builds upon important ethical and legal principles and addresses challenges of trust, informed consent, data ownership, and sovereign rights. p.7

research ethics: ""General project scope and collaborator: • States the purpose of the project, the identity of the organizations participating in the agreement, the length of the agreement, procedures for its amendment or termination, and basic definitions. Types of material and data collected: States • the types of material and data to be collected and the general collection method. This includes data, such as analytical sampling results and demographic attributes, as well as collected organic material, transcripts of focus group discussions, and project-specific questionnaires. Constraints on material and data use: • Assures that materials and data supplied by the tribe to researchers or collected by researchers on behalf of the tribe are and remain tribal property and are not to be shared with third parties without the written permission of tribal authorities. It includes procedures for publication and postcompletion return of all materials and data. Data access and security: Details the proce• dures for maintaining the physical security of the data, such as providing locked storage areas for paper documents and encrypting electronic media, and restricts data access to approved project researchers who require it for a specific task. Risks and benefits of research to the tribal • community: Summarizes the risks and benefits to be expected from participation in the research project, for both the individual and the tribal community. Agreed-on mutual review processes: As a • two-way document, the CTUIR agreed that it has equal responsibility for timely completion of research tasks and reports."" p. 9","-Given their direct experiences coping with depression and its treatment,
 adolescents with depression and their families have perhaps the 
greatest stake in the outcomes of synthesis studies such as the CDSADT 
study. The ability to pool and analyze data from multiple research 
studies is important to help clarify findings about the safety and 
efficacy of interventions. p. 440",-,yes
Chokshi et al. 2006,2006,Data Sharing and Intellectual Property in a Genomic Epidemiology Network: Policies for Large-scale Research Collaboration, Bulletin of the World Health Organization,---,Journal article,Data Sharing and Intellectual Property in a Genomic Epidemiology Network: Policies for Large-scale Research Collaboration,Ebsco,Genomic Epidemiology,"Thus large-scale epidemiological studies, often conducted in multiple populations, need to be combined with high-throughput genome technologies and advances statistical computations p.382

Genomic Epidemiology",no inquiry,"Patent: once research results have been published, they cannot be patented in most countries","
the information flow of a research consortium, indicating the stages where policy guidelines are needed, is shown in Fig. 1. First, consortium members must establish data-sharing relationships by defining how samples and primary data are transferred among them p. 383

Distinguishing between collective and individual resources: data-sharing policy must begin by demarcating resources, samples, data and infrastructure - that will be shared across the consortium and those that remain in the domain of individual researchers p. 383

Access to samples: Distinguishing between collective and individual resources: data-sharing policy must begin by demarcating resources, samples, data and infrastructure - that will be shared across the consortium and those that remain in the domain of individual researchers p. 383

access to information within the consortium: Primary genotyping data must be transmitted back to the contributing investigatpr who provided the samples; contributing investigators should be able to access genotyping data on their samples as soon as it is generated p. 383

Data access to the outside: could be regulated by a consortium
","accelating basic scientific research by making data accessible to the researchers best able to build upon promising findings 

translate most promising scientific findins into therapeutic end products. Intellectual property management may be an important tool that a research consortium can use to maximize the chances of translating research findings into diagnostics, pharmaceutica",-,yes
Sieber 1988,1988,Data sharing: Defining problems and seeking solutions.,Law and Human Behavior,---,Journal article,"Describes a range of meanings or contexts for sharing of research data in which some kinds of sharing are more problematic than others. Objections to data sharing are bolstered by examples from the more difficult end of this range. Constrained sharing, including possible contractual and licensing agreements rather than merely ""handing over the data,"" is a likely norm to emerge at the more difficult end of the spectrum. A case example suggests that even the most difficult cases may yield to constrained sharing solutions that benefit all parties involved. It is concluded that if research is conducted with sharing in mind, and if the scientist is acquainted with constrained sharing, then the dilemmas that pose as arguments against sharing will occur rarely. ",Ebsco,Law & Human Behavior,,no inquiry,"Confidential data of patients: Data may be confidential, and the disclosure of the data may have clearly harmful consequences for the research participants, the possibility of future data gathering, the scientist, or others; e.g., videotapes of therapist-patient interaction filmed with a strict promise of total confidentiality could not be shared without obliterating all visual and verbal clues to the identity of the patients. p. 200

Data can be partly proprietary, data might have proprietary value, copyright violations: Data may have important proprietary or economic value; e.g., the software of equipment that runs the laboratory process may give the scientist considerable advantage over competitors; the data may have economic value to the sponsors and their competitors. Alternatively, the data or equipment may not be copyrighted or patented so that the intellectual property rights of the scientist need to be protected; or the data may be copyrighted, and purchased from a commercial archive (e.g., Bionet data) and the sharing of these data may violate copyright law. p. 200

Dataset offers more exploitation possibilities and data collectors want to use it: The actual data may be far more extensive than what has been reported in copyrighted form and may comprise a data bank that the scientist wishes to mine for the next several years. The actual samples that another wishes to borrow and analyze may be irreplaceable or difficult and expensive to collect. Extremely valuable know-how, unpatented devices, or samples may justifiably be withheld from sharing unless the recipient offers a quid pro quo that is acceptable to the donor p. 200

The ones that request datasets from a researcher are unknown to him or her: One hears about data recipients whose enthusiasm dwindles rapidly when faced with bulging boxes of disarrayed and (perhaps deliberately undecipherable) data, and about requests for complex data sets by persons of unknown credentials who do not respond to the potential donor's queries about the potential recipient's intended use of the data. As these examples suggest, responsible data sharing entails obligations on the part of both parties, and possibly a contractual agreement between them. p. 202

Conflicting interests between data donor and recipient, unclear handling when request come from private company, confidentiality: (1) how to resolve issues such as reimbursement for the cost of reproducing data sets, arrangements for necessary communication between donor and recipient, confidentiality of data, and transfer of ""know how"" to persons wishing to extend the work; (2) when it is appropriate to prohibit the recipient from using the data in ways that conflict with the interests of the donor; (3) whether recipients should be prohibited to pass data on to a third party without permission; (4) when it is appropriate to require of the prospective recipient a proposal stating how the data would be used, or to ask for evidence of competency to carry out that proposed plan; (5) what kind of contractual agreement is appropriate between data donor and recipient; (6) how to handle requests from scientists employed in commercial firms who will refuse to reciprocate by sharing their findings based on extensions of the data, procedures, and knowhow, they wish to have shared with them; (7) what role the donor's and recipient's institutions should have in formulating and enforcing data-sharing agreements, and which research administratorsm ost appropriatelyc an assist with such agreements (e.g., Office of Sponsored Projects, Office of Technology and Data Licensing, Vice President for Research); (8) what mechanisms can be used to enforce such agreements; (9) what mechanisms are available for protecting confidentiality, financial interests, and intellectual property rights p. 202

Misuse of trust: For example, one individual, when quite junior, had borrowed raw data from colleagues at another institution, and was then asked by a very senior colleague at her own institution to let him make another set of the data to ""play with."" The young faculty member did not want to refuse the request outright, and did not have the foresight to suggest that the senior colleague write to the lenders for permission to copy the data. The senior colleague reanalyzed the data and published a scathing critique. p. 203

Researchers have not been informed enough about data sharing: Most respondents indicate that they perceive data sharing as generally advantageous to science and to individual scientists, but that they had not thought about it until we asked their opinion. p. 203

Ethical obligations: Recognizing the range of events that may be subsumed under data sharing, it is obvious that some of these events may entail conflicting ethical obligations. p. 206","The kind of data determens the ease with ehich data is shared; qualitative and quantitative data; it depends on skill, technology and equipment used to gather and analyse them; to examine the work of others, scientists my need access to the raw data and the samples p. 200

As examples, an investigator may (1) enter into a research contract requiring delivery of the data to the funding agency on completion of the contract; (2) accept a grant from an agency requiring that, on completion of the research, the data be documented, stored in a standard machine-readablef orm, and shared with any scientist upon request; (3) submit a manuscript to a journal requiring availability of the raw data, on request, to referees and upon publication to other scientists; (4) do research which a colleague questions, then proposes to reanalyze collaboratively with her; (5) gather data which a colleague wishes to borrow and use as sample data for training students; (6) archive data so that potential borrowers will have ready access to it; (7) collect, with government funding, confidential data that another vitally affected government organization requests for purposes of reanalysis (verification), refinement, and extension, with no guarantee that the data will not be used for administrative decision making that may affect the subjects adversely; (8) collect data with private funding which a court subpoenaes because the data are relevant to proving or defending against a claim; or, (9) do confidential research, without funding, the conclusions of which are attacked by a competitor, who requests access to the raw data. p. 201

In short, our preliminary results strongly suggest that scientists need to be educated about data sharing, but that the task will be easy, once some group that has outlined the issues gets their attention p. 204",,,yes
Nelson 2009,2009,Data sharing: Empty archives,Nature,---,News Feature,"Most researchers agree that open access to data is the scientific ideal, so what is stopping it happening? Bryn Nelson investigates why many researchers choose not to share.",Ebsco,interdisciplinary,Nature magazine article ,no inquiry,"Researchers' concerns about time for data formatting: When the time came, scientists couldn’t find their data, or didn’t understand how to use the archive, or lamented that they just didn’t have any more hours left in the day to spend on this business. p. 160

Misuse of own work, unclear which rights remain at the scientist: What will keep work from being scooped, poached or misused? What rights will the scientists have to relinquish? Where will they get the hours and money to find and format everything? p. 160

But those discipline-specific successes are the exception rather than the rule in science. All too many observations lie isolated and forgotten on personal hard drives and CDs, trapped by technical, legal and cultural barriers — a problem that open-data advocates are only just beginning to solve. p. 160

Disciplinary culture: wide variations in the culture of data sharing. Fields such as atmospheric science and oceanography, Parsons says, have welldeveloped traditions of free and open access, and robust databases. But fields such as wildlife ecology and many of the social sciences do not. p. 161

Collecting data is often a huge effort: In other fields, however, the main barriers to data sharing are concerns about quantity and quality. The US National Science Foundation’s (NSF’s) Laser Interferometer Gravitational- Wave Observatory (LIGO), for example, uses giant detectors in Louisiana and Washington to search for gravitational waves that might indicate the presence of rare phenomena such as colliding black holes or merging stars. LIGO is also working with the Virgo consortium, which operates a similar detector near Pisa, Italy. Neither team has detected the signal they are looking for yet — but that’s not surprising: gravitational waves are expected to be extraordinarily faint. The key to detecting them is to eliminate every possible source of spurious vibration in the detectors, whether from seismic events, electrical storms, road traffic or even from the surf on distant beaches. It requires what Szabolcs Márka, a physicist at Columbia University in New York and the university’s lead scientist for LIGO, calls “a really

Missing data standards (metadata): ""How data should be shared is also a substantial problem. A prime example is the issue of data standards: the conventions that spell out exactly how the digital information is formatted, and exactly how the contextual information (metadata) is listed. In some disciplines it is comparatively easy to agree on standards, says Clifford Lynch, executive director of the Coalition for Networked Information based in Washington DC, which represents academia on data and networking issues. “If you look at something like the sequencing of a genome, there’s a whole lot of tacit stuff that’s already settled,” he says. “Sequencing one genome is very similar to sequencing another.” But for other groups — say, environmental scientists trying to understand the spread of a pollutant — the choice of common standards is far less obvious. The all-too-frequent result is fragmented and often mutually incomprehensible scientific information. And that, in turn, stifles innovation, says James Boyle, a law professor at Duke University in Durham, North Carolina, and a founding board member of Creative Commons, a non-profit organization that supports creative content sharing."" p. 160

Missing standards: For example, web users are using applications such as Google Earth to plot the spread of pandemics2 or to collect information on the effects of climate change. All that is needed, says Boyle, are common languages and formats for data. p. 160

No widespread datasharing unless it is a requirement for every grant: Nonetheless, until data sharing becomes a requirement for every grant, says Daniel Gardner, a physiologist and biophysicist at the Weill Medical College of Cornell University, “people aren’t going to do it in as widespread of a way as we would like”. Right now, he says, “you can’t ask large numbers of people to do it, because it’s a lot of work and because in many cases the databases don’t exist for it. So there is kind of a chicken and egg problem here.” p. 161

Huge effort to make old data available because of old software standards: If you try to look at a file that you wrote with a word processor 20 years ago, good luck.” In the same way, if a data set isn’t readable by the latest version of a database, it isn’t usable. So an archive may well have to choose between tossing old data out, and paying to preserve the out-ofdate software required to make sense of them. p. 162

Personal data and privacy: Even more challenging are the legal minefields surrounding personal data and privacy. p. 162

Scientists do not share because the attribution is not sufficient (data citation): Another issue facing journals and data banks is how to ensure proper citations for data sets. “The one thing that people clearly care about in the sciences is attribution,” says Boyle. Without an agreed-on way of assigning credit for original data falling beyond the parameters of a publication, however, it’s no wonder that scientists are reluctant to share: their hard work may never be recognized by their employers or by granting agencies. p. 163","Perhaps not surprisingly, data-sharing advocates say, the power to prod researchers towards openness and consistency rests largely with those who have always had the most clout in science: the funding agencies, which can demand data sharing in return for support; the scientific societies, which can establish it as a precedent; and the journals, which can make sharing a condition of publication. p. 161

One solution would be for agencies to invest in the infrastructure necessary to meet their archiving requirements. That can be difficult to arrange, says Boyle. “Infrastructure is the thing that we always fail to fund because it’s kind of everybody’s problem, and therefore it’s nobody’s problem.”","A similar reality check has greeted other data-sharing efforts. Most researchers happily embrace the idea of sharing. It opens up observations to independent scrutiny, fosters new collaborations and encourages further discoveries in old data sets. p. 160",-,yes
Butler 2007,2007,Data sharing: the next generation,Nature,---,News Feature,"The Internet has already become a place for people to share knowledge, opinions, music and videos. Now, in a slightly geekier aspect of the same trend, social software is allowing people to share data too.",Ebsco,interdisciplinary,nature magazine article ,no inquiry,,,"Once data are uploaded to these sites (which are still being tested), people can reanalyse the numbers, mix them with other data and visualize them in different ways. p. 10

Governments, international agencies and research organizations generate huge silos of publicly available data on almost every aspect of society, but the public has never been able to explore, share and discuss these
data sets easily, she points out.",,yes
Stanley & Stanley 1988,1988,Data sharing: The primary researcher's perspective.,Law and Human Behavior,---,Journal article,"Identifies 2 important dimensions of data sharing: the degree to which the primary investigators may determine whether they will share their data (i.e., whether they are free to refuse data requests) and the reason for which the data set is being requested. The negative aspects of viewing data sharing as an obligation include increased burden on the primary investigator, lack of incentive to share data, loss of control over the use of data, and negative effects on scientific progress. Recommendations regarding data sharing policies are made in light of these negative effects",Ebsco,Psychology,,no inquiry,"Fear of falsification: The second dimension of requests to share data is the intended use of the primary data set. The reason commentators most commonly cite is verification or refutation of the original study (Boruch, 1985). With respect to requests for verification, the intent of the secondary analyst is to reanalyze the data using either identical statistical methods or techniques that the secondary investigator considers more sensitive or sophisticated. No new hypotheses would be explored in this instance p. 176

additional financial and time burdens on the primary investigator: Supplying data to other investigators can be both costly and time consuming. Data must be prepared in a way that is readily understandable to the requester. Codebooks cannot be written in a shorthand form and many incidentals of data collection that often are not formally documented must be made formal. Inevitably, questions will arise regarding the recordkeeping, and the primary investigator must allot time to answer these questions. Furthermore, the primary investigator in most circumstances would bear the burden of additional financial and personnel costs of reproducing the data, including photocopying and reproduction of computer disks. Granting agencies typically do not supply additional funds for extra staff time or supplies for data sharing. Therefore, the time, cost and effort spent on data sharing would be taken away from the primary goals of the research program. p. 176

Lack of rewards: The second negative aspect of data sharing is that few rewards accrue from this activity, even though it is seen as promoting scientific inquiry, and pressure exists within the research community to share data. In fact, instead of being rewarded, only negative consequences may result. Giving data to another investigator may mean simply that someone else will publish a finding based on data collected by the primary investigator prior to that investigator doing so. p. 177

Loss of control: The loss of control over the data set is one of the strongest drawbacks to sharing research data. The primary investigator may encounter several problems. First, the investigator may be concerned about the qualifications of the data requester. The nature of this concern is twofold: (a) the technical ability of the requester to understand and appropriately analyze the data, and (b) the ethical standards of the requester. p. 178","When viewed as an obligation, primary researchers would be required to supply their data to any researcher who requests access p. 173

academic institutions. On the other hand, the Ethical Principles of Psychologists (American Psychological Association, 1981) do not place an emphasis on data sharing as a valued goal. To the contrary, the Principles emphasize the importance of maintaining control over the integrity of data. For example, the Principles state that ""psychologists have the responsibility to attempt to prevent distortion, misuse or suppression of psychological findings by the institution or agency of which they are employees"" (APA, 1981, Principle 1). Furthermore, ""psychologists are obliged to clarify in advance . . . expectations for sharing and utilizing research data"" (APA, 1981, Principle 1). In short, although the APA Principles emphasize the need to clarify arrangements for use of data and to preserve the integrity of the data, they do not promote data sharing or support sharing of data as an ethical mandate p. 173

Scientists by and large are not mandated to supply their data to others, although there are arguments currently being made to condition grant awards on willingness to supply data to all requesters (Yolles, Conners, & Grufferman, 1986) p. 175

Further, the social climate in the research community creates psychological pressure to share data. This pressure may be intensified by the fact that withholding data may leave the impression of having something to hide. p. 175

1. Data sharing ought to remain a voluntary activity whenever possible, with the primary researcher retaining the right to permit or refuse access to their data. 2. Guidelines ought to be developed for the appropriate behavior of secondary analysts; e.g., an expectation that contradictory findings will be supplied to the primary investigator prior to publication, in order to offer the primary investigator the opportunity to discuss or refute the new interpretation. 3. Primary investigators should not be denied the opportunity to evaluate the data requester's credentials prior to giving the data set. It is appropriate to evaluate the requester's ability to analyze and interpret the data and to obtain some information on the individual's ethical standards. 4. Written agreements specifying the purpose of the data request ought to be encouraged. The limits of the data set's uses should be discussed and agreed upon prior to its release. For example, if the agreement is that the secondary researcher is to conduct a verification, then additional analyses are not to be conducted without the primary researcher's consent. Furthermore, the primary researcher should be able to specify whether or not the secondary researcher is permitted to give the data to any other researchers. 5. Finally, we ought to remember that a balance between data sharing and the development of original data should be maintained. In an effort to promote data sharing, it should not become an overvalued activity and consequently lead to an undervaluing of original contributions and the development of original data sets. Ultimately the goals of science may be hindered rather than promoted. p. 179","Although data sharing is seen as promoting openness in scientific inquiry and thus as being good for science, it ultimately may lead to negative consequences for the field. If data sharing becomes a more established or even mandated practice, more investigators are likely to request the data sets of others. Simply put, it is a lot easier, faster, and less costly to obtain someone else's data than it is to design a study, recruit participants, and collect and analyze data. Thus, we could end up with many fewer original data sets examining the same or similar questions. One of the basic tenets of the scientific method, the collection of data through multiple independent evaluations, may be compromised. Conducting many more analyses on one data set may seem cost effective but may ultimately slow progress since idiosyncracies of the original data set may take much longer to discover.","This position is a more difficult and less popular one to take than being a proponent of data sharing. Sharing research data openly and freely is often viewed as altruistic and signifying the openness of scientific inquiry and advancing the pursuit of knowledge. Furthermore, it appears to promote ""good"" science by allowing independent analysis and review of one's data. Although a categorical rejection of the positive aspects of data sharing would be invalid, current arguments in its favor are based on a rather simplistic and idealized view of research and life as a researcher p. 173",yes
Warshawsky et al. 1980,1980,Direct in vivo demonstration by radioautography of specific binding sites for calcitonin in skeletal and renal tissues of the rat.,J Cell Biol. ,---,Journal article,"An in vivo binding assay using radioautography was employed to visualize calcitonin receptors in rat tissues. At 2 min after intravenous injection of biologically active 125I-salmon calcitonin, free hormone was separated from bound hormone by intracardiac perfusion with lactated Ringer's followed by fixation with 2.5% glutaraldehyde. Various tissues were removed and processed for light and electron microscope radioautography. These were compared to tissues removed from animals that received identical amounts of labeled hormone with a large excess of unlabeled calcitonin. Among the tissues investigated, kidney and bone demonstrated labeling. In kidney, most silver grains were located over vesicles below the brush border of cells of theproximal convoluted tubules. These grains were still present after simultaneous injection of excess unlabeled hormone and most likely represented binding to sites involved with ingestion and degradation of hormone from the urinary filtrate. In contrast, grains localized to the basal surfaces of distal convoluted tubule cells were significantly reduced in number in control animals and represented sites of saturable, specific hormone binding. In bone, specific binding sites were found only at the periphery of osteoclasts. These labeled cells were located at resorption sites examined in tibia, humerus, and alveolar bone. This demonstration of the localization of 124I-calcitonin in situ provides a new approach for study the interaction of calcium-regulating hormones with their target cells.",Ebsco,,,,,,,,no
Feldman et al. 2012,2012,Educating for the future: another important benefit of data sharing,The Lancet,---,Correspondence,---,Ebsco,Medicine,-,no inquiry ,-,-,"Population-based research is timeconsuming and resource-intensive, usually requiring multipartner and cross-sectoral engagements. Graduate students in the area of public health are often unable to do research on their own or within the setting of a smaller research community or laboratory. Yet understanding and analysis of population-based research data is a pivotal component of both graduate training and completion of a master’s or doctoral thesis. The inherent richness of populationbased research data, its usefulness for analysis through various lenses and points in time, and a natural desire for epidemiology to seek actionable information p. 1877",,yes
